file_name,uni,wylie,url,dept,grade,char_len,audio_len,path,inf
STT_CS-D-2014-M-D-B02-3-T-01_0054_348534_to_351808,འགྲོ་རེད་ད། ཨ་ནས་མོ་ཡིས། ཨ་ནས་འཐམ། མི་གཅིག་ཚང་མ།  ,'gro red da/_a nas mo yis/_a nas 'tham/_mi gcig tshang ma/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_CS-D-2014-M-D-B02-3-T-01_0054_348534_to_351808.wav,STT_CS,3,50,3.274,wav16k/STT_CS-D-2014-M-D-B02-3-T-01_0054_348534_to_351808.wav,འགྲོ་རེད་ད། ཨ་ནས་མོ་ཡིས། ཨེ་ནས་དང་མི་གཅིག་ཚང་མ།
STT_TT00532_0016_164069_to_167278,ད་དེ་འདྲའི་ཅིག་རེད་སོང་ན། ད་ཉེན་ཁ་ཆེན་པོ་ཅིག་རེད།  ,da de 'dra'i cig red song na/_da nyen kha chen po cig red/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00532_0016_164069_to_167278.wav,STT_TT,3,51,3.209,wav16k/STT_TT00532_0016_164069_to_167278.wav,ད་དེ་འདྲའི་ཅིག་རེད་སོང་ན། ད་ཉེན་ཁ་ཆེན་པ་རེད།
STT_NS0169_0039_336259_to_345416,གཙང་སྒྲ་ཏོག་ཙི་མེད་རྒྱོ་འདྲ་བོ་ཚོར་གི་འདུག་རེད་བ་ཡ། ཨེ་ནས་ཡིན་ནས་། ཁཱཔ་དེ་བི་ཡུསྀ་བྱེད་ང་ཞེད་ཀི་འདུག་རེད་བ་ཡ། བེད་སྤྱོད་བྱེད་ག་རེ་བྱས་ད་ལྟ་བར་དུ་ང་ཚོ་ཨེ་འདྲ་བེད་སྤྱོད་བྱེད་མྱོང་འདྲ་བོ་མེད་རེད་བ་ཡ། འོ་དེ་བྱས་ནས་ ,gtsang sgra tog tsi med rgyo 'dra bo tshor gi 'dug red ba ya/_e nas yin nas /_khApa de bi yus-i byed nga zhed ki 'dug red ba ya/_bed spyod byed ga re byas da lta bar du nga tsho e 'dra bed spyod byed myong 'dra bo med red ba ya/_'o de byas nas _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS0169_0039_336259_to_345416.wav,STT_NS,3,211,9.157,wav16k/STT_NS0169_0039_336259_to_345416.wav,གཙང་སྦྲ་ཏོག་ཙི་མེད་རྒྱོ་འདྲ་བོ་ཚོར་གི་འདུག་རཱ་ཡང། ཨེ་ནས་ཡིན་ནས་ཡོད་སྐབས་དེ་བི་ཡུ་སྀ་བྱེད་ཡ་ང་ཞེད་ཀི་འདུག་རཱ། བེད་སྤྱོད་བྱེད་ཡ་ག་རེ་བྱས་ནས་ལ་ན་ད་ལྟ་བར་དུ་ང་ཚོ་ཨེ་འདྲའི་བེད་སྤྱོད་བྱེད་མྱོང་འདྲ་བོ་མེད་རཱད་ཡང། རེད་རེད། ཨོ་བྱས་ནས།
STT_TT00546_0046_337056_to_346749,ད་སྦྱོར་ལམ། གི་མཉམ་བཞག་ཡེ་ཤེས་དེ་ཚོ་གང་ག་ལ། སེམས་རྟེན་ལ་བསམ་གཏན་དངོས་གཞི་ཡོད་མ་རེད། འོ་ད་གང་བྱས། སྤྱིར་བཏང་ད་སྔགས་ཀི་ལུགས་ལ་ཨེ་ནས་ ,da sbyor lam/_gi mnyam bzhag ye shes de tsho gang ga la/_sems rten la bsam gtan dngos gzhi yod ma red/_'o da gang byas/_spyir btang da sngags ki lugs la e nas _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00546_0046_337056_to_346749.wav,STT_TT,3,131,9.693,wav16k/STT_TT00546_0046_337056_to_346749.wav,ད་སྦྱོར་ལམ་གི་མཉམ་བཞག་ཡེ་ཤེས་དེ་ཚོ་གང་ག སེམས་ལྡན་བསམ་གཏན་དངོས་རྒཞི་ཡོད་མ་རེད། ཨོ་ད་གང་ཅས། སྤྱིར་བཏང་ད་སྔགས་ཀི་ལུགས་ལ། ཨེ་ནས།
STT_TT00613_0263_1924069_to_1929877,གཞན་དེ་ག་སེ་ང་རང་ཚོས། ང་ཚོར་རྩམ་པ་ཞིམ་པོ་ཟ་རྒྱུ་ཡོད། ཆང་ཞིམ་པོ་བཏུང་རྒྱུ་ཡོད་ཟེ་ལབ་པ་གཅིག་བུ་གིས། བོད་པའི་ཞེན་ཁོག་སླེབས་ཀི་མ་རེད་ད།  ,gzhan de ga se nga rang tshos/_nga tshor rtsam pa zhim po za rgyu yod/_chang zhim po btung rgyu yod ze lab pa gcig bu gis/_bod pa'i zhen khog slebs ki ma red da/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00613_0263_1924069_to_1929877.wav,STT_TT,3,133,5.808,wav16k/STT_TT00613_0263_1924069_to_1929877.wav,གཞན་ད་ག་སེ་ང་རང་ཚོས། ང་ཚོ་རྩམ་པ་ཞིམ་པོ་ཟ་རྒྱུ་ཡོད། ཆང་ཞིམ་པོ་བཏུང་རྒྱུ་ཡོད་ཟེ་ལབ་པ་གཅིག་པོ་གིས་བོད་པསི་ཞེན་ཁོག་སླེབས་ཀི་མ་རེད་ད།
STT_NS_M0030_0378_3140150_to_3149929,ཏོག་ཙི་ངོ་ཚ་འཛེམ་པོ། ངོ་ཚ་ངོ་ཚ་འཛེམ་པོ་དང་གཅིག ཨེ་ནས་སྙིང་རྗེ་ཆེན་པོ་གཉིས་ལག་པ་ཆེན་པོ་ལག་པ་ཤང་པོ། གཏོང་ཕོད་ཆེན་པོ་ཨེ་འདྲའི་འདྲ་བོ་བརྩི་ཡི་འདུག་ག། ད་འོ་འདི་ད་ང་ཚོ་ ,tog tsi ngo tsha 'dzem po/_ngo tsha ngo tsha 'dzem po dang gcig_e nas snying rje chen po gnyis lag pa chen po lag pa shang po/_gtong phod chen po e 'dra'i 'dra bo brtsi yi 'dug ga/_da 'o 'di da nga tsho _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS_M0030_0378_3140150_to_3149929.wav,STT_NS,3,163,9.779,wav16k/STT_NS_M0030_0378_3140150_to_3149929.wav,ཏོག་ཙི་ངོ་ཚ་འཛེམ་པོ། ངོ་ཚ་ངོ་ཚ་འཛེམ་པོ་དང་གཅིག ཨེ་ནས་སྙིང་རྗེ་ཆེན་པོ་གཉིས། ལག་པ་ཆེན་པོ། ལག་པ་ཤང་པོ། སྟོང་ཕོད་ཆེན་པོ་ ཨོ་ཨེ་འདྲའི་འདྲ་བོ་བརྩི་གི་འདུག་བ། ད་ཨོ་འདི་ད་ང་ཚ།
STT_TT00514_0354_2120332_to_2122619,ཨ་ལགས་སོ། རྡོ་རྗེ་ཐེག་པའི་དམ་ཚིག་དང་ ,a lags so/_rdo rje theg pa'i dam tshig dang _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00514_0354_2120332_to_2122619.wav,STT_TT,3,37,2.287,wav16k/STT_TT00514_0354_2120332_to_2122619.wav,ཨོ་ལགས་སོ། རྡོ་རྗེ་ཐེག་པའི་དམ་ཚིག་དང་།
STT_TT00658_0230_2034726_to_2037798,བྱམས་པ་དང་སྙིང་རྗེ་གཉིས་སྒོམ་དགོས་ཀི་འདུག་ད། དེ་བསྒོམས་ན་དངོས་གནས་ཕན་ཐོག་འདུག་ཟེ།  ,byams pa dang snying rje gnyis sgom dgos ki 'dug da/_de bsgoms na dngos gnas phan thog 'dug ze/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00658_0230_2034726_to_2037798.wav,STT_TT,3,83,3.072,wav16k/STT_TT00658_0230_2034726_to_2037798.wav,བྱམས་པ་དང་སྙིང་རྗེ་ངས་སྒོམ་དགོས་ཀི་འདུག་ད། དེ་བསྒོམས་ན་ དངོས་གནས་ཕན་ཐོགས་འདུག་ཟེ།
STT_TT00510_0309_2274234_to_2277978,ཀྱེ་རྡོར་དེ། ཡི་དམ་གཙོ་བོ་ཡིན་ཟེར། དེ་གཉིས་མེད་ཀི་རྒྱུད་ཡིན་ཟེར། ཁུངས་ག་བ་ཡོད་ཟེར། ཀྱེ་རྡོར་རང་ལས།  ,kye rdor de/_yi dam gtso bo yin zer/_de gnyis med ki rgyud yin zer/_khungs ga ba yod zer/_kye rdor rang las/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00510_0309_2274234_to_2277978.wav,STT_TT,3,100,3.744,wav16k/STT_TT00510_0309_2274234_to_2277978.wav,ཀྱེ་རྡོར་དེ་ཡི་དམ་གཙོ་བོ་ཡིན་ཙ། དེ་གཉིས་མེད་ཀི་རྒྱུད་ཡིན་ཟེ། ཁོང་ག་རེ་ཡོད་ཟེ། ཀྱེ་རྡོར་རང་ལས།
STT_NS_M0023_0109_980535_to_989756,གེ་ཀུ་ཅི་མིན་འདུག་ག། ལས་རིམ་འདྲ་བོ་སྤེལ་ན་ཡག་པོ་ཡོད་རེད་བསམ་གི་འདུག་ང་ཚོ་འདི་དུས་ཆེད་ད་དམིགས་བསལ་རེད་རེད། ང་ཚོ་། ང་ཚོའི་ཆེད་དུ་ད་ཡ་ཡུད་རྩ་ཆེན་པོ་འདྲ་བོ་ཆགས་བསྡད་ཡོད་རེད་བ། གཅིག་ད་ཡོད་བ་ང་ཚོ་ད་ ,ge ku ci min 'dug ga/_las rim 'dra bo spel na yag po yod red bsam gi 'dug nga tsho 'di dus ched da dmigs bsal red red/_nga tsho /_nga tsho'i ched du da ya yud rtsa chen po 'dra bo chags bsdad yod red ba/_gcig da yod ba nga tsho da _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS_M0023_0109_980535_to_989756.wav,STT_NS,3,193,9.221,wav16k/STT_NS_M0023_0109_980535_to_989756.wav,འགྲོ་་་གེ་ཀུ་ཅི་མི་འདུག་ག ལས་རིམ་འདྲ་བོ་སྤེལ་ན་ཡག་པོ་ཡོད་རེད་བསམ་གི་འདུག ང་ཚོ་འདི་དུས་རིམ་ད་དམིགས་བསལ་རཱ་ང་ཚོ། ང་ཚོ་ྤྱིད་དུ་ཡ་ཡུད་ད་རྩ་ཆེན་པོ་འདྲ་བོ་ཆགས་བསྡད་ཡོད་རཱ། གཅིག་ད་ཡོད་བ་ང་ཚོ་ད།
